Module,GO_term,Overlap,P-value,Adjusted P-value,Odds Ratio,Genes
Mic2,potassium ion transport (GO:0006813),29/122,6.379913746085347e-08,1.1341056197207902e-05,3.6692357096981376,SLC24A2;SLC24A4;SLC24A3;KCNC1;KCNC2;KCNA1;KCNA2;ATP1A2;NALCN;SLC9A1;KCNN1;KCNN2;KCNN3;KCNH1;KCNJ3;KCNJ6;KCNH5;KCNK10;KCND2;KCNH7;KCND3;KCNB1;KCNB2;ABCC9;KCNAB1;KCNQ5;KCNK1;HCN2;HCN1
Mic2,inorganic anion transmembrane transport (GO:0098661),20/65,7.567261996111149e-08,1.2840267741583144e-05,5.213282247765006,GABRB3;GABRA2;SLC12A2;GABRB2;GABRB1;GABRA6;GABRA4;SLC1A1;GABRA3;SLC6A1;ANO4;ANO5;GABRG3;GABRG2;ANO3;GLRA2;GLRA3;GLRB;APOL1;SLC25A14
Mic2,homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156),19/60,9.547154339289237e-08,1.5495446586333357e-05,5.433514405341883,PTPRT;ROBO2;KIRREL3;TENM3;DSCAM;CADM1;CNTN6;ROBO1;TRO;IGSF11;CDH4;CDH2;CDH13;CNTN2;DSG2;CNTN4;DSCAML1;NECTIN3;NECTIN1
Mic2,potassium ion transmembrane transport (GO:0071805),31/139,1.086851810674881e-07,1.6905074205205543e-05,3.3790996784565914,SLC24A2;SLC24A4;SLC24A3;KCNC1;KCNC2;KCNA1;KCNA2;ATP1A2;NALCN;SLC9A1;KCNT2;KCNN1;KCNN2;KCNN3;KCNH1;KCNJ3;SLC12A2;KCNJ6;KCNH5;KCNK10;KCND2;KCNH7;KCND3;KCNB1;KCNB2;ABCC9;KCNAB1;KCNQ5;KCNK1;HCN2;HCN1
Mic2,axon development (GO:0061564),22/79,1.25557896083721e-07,1.8748305043221217e-05,4.5301521066092345,NTNG1;SPTBN4;DCC;ATL1;PLPPR4;LMTK2;ANK3;BAIAP2;MAPK8IP3;ZDHHC17;CAMSAP2;GRM7;PARD3;SLITRK4;SLITRK5;NRCAM;MAPT;CTNNA2;CNTN4;PAK3;DSCAML1;FGFR2
Mic2,neurotransmitter transport (GO:0006836),21/73,1.3130795257533901e-07,1.8852791806297712e-05,4.738289506021135,GABRA2;SLC38A1;UNC13A;PTPRN2;SYT1;GLS2;SLC6A15;NRXN1;SLC1A1;NRXN2;GAD2;ATP1A2;LIN7A;SYN3;SYN2;RIMS1;SYNJ1;SLC17A6;PPFIA4;PPFIA3;PPFIA2
Mic2,inorganic cation transmembrane transport (GO:0098662),48/274,1.530919954319654e-07,2.116638588694544e-05,2.5116632334833198,SLC24A2;SLC24A4;SLC24A3;KCNC1;KCNC2;KCNA1;KCNA2;CACNA1A;ATP1A2;CACNA1C;SLC6A1;SLC4A4;NALCN;SLC9A1;SLC25A27;KCNN1;ATP6V1H;KCNN2;KCNN3;ASIC2;SCN3A;TRPM3;SCN1A;KCNH1;SLC12A2;TRPC5;KCNH5;KCNK10;SLC6A17;KCND2;KCND3;KCNB1;KCNH7;TRPC4;SLC6A15;KCNB2;TRPC1;SLC6A11;ABCC9;KCNAB1;SLC8A3;SCN8A;KCNQ5;SCN2A;KCNK1;SLC25A14;HCN2;HCN1
Mic2,chloride transport (GO:0006821),21/76,2.79237313874299e-07,3.7228317596169934e-05,4.479105431309904,GABRB3;GABRA2;SLC12A2;GABRB2;GABRB1;GABRA6;GABRA4;SLC1A1;GABRA3;SLC4A10;SLC6A1;ANO4;ANO5;GABRG3;GABRG2;ANO3;GLRA2;GLRA3;CLCN4;GLRB;APOL1
Mic2,regulation of synapse assembly (GO:0051963),16/47,3.197911440814677e-07,4.1164839339866166e-05,6.0433121019108285,ROBO2;NLGN1;CLSTN2;CLSTN3;BDNF;NRXN1;LHFPL4;PTPRD;LRFN5;CUX2;IL1RAPL2;IL1RAPL1;SLIT1;EPHB1;GPC6;LRRC4B
Mic2,positive regulation of cell projection organization (GO:0031346),27/117,3.4143090048135415e-07,4.2485385049896506e-05,3.5261064785118665,CHODL;ROBO2;TENM3;PLPPR5;ROBO1;GRIP1;CUX2;FUT9;DPYSL3;MAP6;PTK2B;SLIT2;PLXNA4;NTRK2;PRKCI;CDKL5;BDNF;NTRK3;MAGI2;PTPRD;RIT2;LRRC7;IL1RAPL1;PRKD1;TOX;MAP3K13;EPHA3
